datetime,US_ERCOIC_WoW_Actual,US_ERCOIC_WoW_Srv_Med,US_ERCOIC_WoW_Revised,US_ERCOIC_WoW_Prior
2022-11-02 22:30:00,0.406,,-0.114,-0.114
2022-10-26 22:30:00,-0.114,,-0.133,-0.133
2022-10-19 22:30:00,-0.133,,-0.278,-0.278
2022-10-13 23:00:00,-0.278,,0.21,0.21
2022-10-05 22:30:00,0.21,,-0.604,-0.604
2022-09-28 22:30:00,-0.604,,0.333,0.333
2022-09-21 22:30:00,0.333,,0.093,0.093
2022-09-14 22:30:00,0.093,,-0.309,-0.309
2022-09-08 23:00:00,-0.309,,-0.017,-0.017
2022-08-31 22:30:00,-0.017,,-0.168,-0.168
2022-08-24 22:30:00,-0.168,,-0.158,-0.158
2022-08-17 22:30:00,-0.158,,0.728,0.728
2022-08-10 22:30:00,0.728,,-0.174,-0.174
2022-08-03 22:30:00,-0.174,,-0.292,-0.292
2022-07-27 22:30:00,-0.292,,-0.321,-0.321
2022-07-20 22:30:00,-0.321,,0.202,0.202
2022-07-13 22:30:00,0.202,,-0.228,-0.228
2022-07-07 23:00:00,-0.228,,0.403,0.403
2022-06-29 22:30:00,0.403,,-0.057,-0.057
2022-06-29 22:25:00,-0.057,,-0.067,-0.067
2022-06-15 22:30:00,-0.067,,0.354,0.354
2022-06-08 22:30:00,0.354,,-0.236,-0.236
2022-06-02 23:00:00,-0.236,,0.334,0.334
2022-05-25 22:30:00,0.334,,0.239,0.239
2022-05-18 22:30:00,0.239,,0.23,0.23
2022-05-11 22:30:00,0.23,,-0.218,-0.218
2022-05-04 22:30:00,-0.218,,-0.033,-0.033
2022-04-27 22:30:00,-0.033,,0.194,0.194
2022-04-20 22:30:00,0.194,,-0.425,-0.425
2022-04-13 22:30:00,-0.425,,0.035,0.035
2022-04-06 22:30:00,0.035,,0.035,0.035
2022-03-30 22:30:00,0.035,,0.277,0.277
2022-03-23 22:30:00,0.277,,0.224,0.224
2022-03-16 22:30:00,0.224,,-0.021,-0.021
2022-03-09 23:30:00,-0.021,,0.152,0.152
2022-03-02 23:30:00,0.152,,0.344,0.344
2022-02-25 00:00:00,0.344,,-0.675,-0.675
2022-02-16 23:30:00,-0.675,,0.329,0.329
2022-02-09 23:30:00,0.329,,-0.249,-0.249
2022-02-02 23:30:00,-0.249,,0.044,0.044
2022-01-26 23:30:00,0.044,,-0.12,-0.12
2022-01-21 00:00:00,-0.12,,-0.294,-0.294
2022-01-12 23:30:00,-0.294,,0.164,0.164
2022-01-05 23:30:00,0.164,,-0.115,-0.115
2021-12-29 23:30:00,-0.115,,0.148,0.148
2021-12-22 23:30:00,0.148,,-0.115,-0.115
2021-12-15 23:30:00,-0.115,,0.154,0.154
2021-12-08 23:30:00,0.154,,-0.009,-0.009
2021-12-01 23:30:00,-0.009,,0.243,0.243
2021-11-24 23:30:00,0.243,,0.031,0.031
2021-11-17 23:30:00,0.031,,0.343,0.343
2021-11-10 23:30:00,0.343,,-0.025,-0.025
2021-11-03 22:30:00,-0.025,,0.058,0.058
2021-10-27 22:30:00,0.058,,-0.071,-0.071
2021-10-20 22:30:00,-0.071,,-0.683,-0.683
2021-10-14 23:00:00,-0.683,,0.329,0.329
2021-10-06 22:30:00,0.329,,0.068,0.068
2021-09-29 22:30:00,0.068,,0.96,0.96
2021-09-22 22:30:00,0.96,,0.085,0.085
2021-09-15 22:30:00,0.085,,-1.636,-1.636
2021-09-09 23:00:00,-1.636,,-0.134,-0.134
2021-09-01 22:30:00,-0.134,,0.066,0.066
2021-08-25 22:30:00,0.066,,-0.191,-0.191
2021-08-18 22:30:00,-0.191,,0.277,0.277
2021-08-11 22:30:00,0.277,,0.045,0.045
2021-08-04 22:30:00,0.045,,-0.132,-0.132
2021-07-28 22:30:00,-0.132,,-0.086,-0.086
2021-07-21 22:30:00,-0.086,,-0.022,-0.022
2021-07-14 22:30:00,-0.022,,-0.184,-0.184
2021-07-08 23:00:00,-0.184,,0.187,0.187
2021-06-30 22:30:00,0.187,,-0.225,-0.225
2021-06-23 22:30:00,-0.225,,0.412,0.412
2021-06-16 22:30:00,0.412,,0.328,0.328
2021-06-09 22:30:00,0.328,,0.358,0.358
2021-06-03 23:00:00,0.358,,0.123,0.123
2021-05-26 22:30:00,0.123,,0.096,0.096
2021-05-19 22:30:00,0.096,,-0.223,-0.223
2021-05-12 22:30:00,-0.223,,0.225,0.225
2021-05-05 22:30:00,0.225,,0.253,0.253
2021-04-28 22:30:00,0.253,,-0.286,-0.286
2021-04-21 22:30:00,-0.286,,0.007,0.007
2021-04-14 22:30:00,0.007,,0.103,0.103
2021-04-07 22:30:00,0.103,,0.552,0.552
2021-03-31 22:30:00,0.552,,0.956,0.956
2021-03-24 22:30:00,0.956,,1.123,1.123
2021-03-17 22:30:00,1.123,,2.407,2.407
2021-03-10 23:30:00,2.407,,-2.327,-2.327
2021-03-03 23:30:00,-2.327,,-2.589,-2.589
2021-02-24 23:30:00,-2.589,,0.026,0.026
2021-02-19 00:00:00,0.026,,0.152,0.152
2021-02-10 23:30:00,0.152,,-0.08,-0.08
2021-02-03 23:30:00,-0.08,,-0.039,-0.039
2021-01-27 23:30:00,-0.039,,0.11,0.11
2021-01-23 00:00:00,0.11,,0.274,0.274
2021-01-13 23:30:00,0.274,,0.089,0.089
2021-01-06 23:30:00,0.089,,0.273,0.273
2020-12-30 23:30:00,0.273,,-0.169,-0.169
2020-12-23 23:30:00,-0.169,,-0.253,-0.253
2020-12-16 23:30:00,-0.253,,0.424,0.424
2020-12-09 23:30:00,0.424,,-0.251,-0.251
2020-12-02 23:30:00,-0.251,,0.422,0.422
2020-11-25 23:30:00,0.422,,0.394,0.394
2020-11-18 23:30:00,0.394,,-0.105,-0.105
2020-11-13 00:00:00,-0.105,,0.164,0.164
2020-11-04 23:30:00,0.164,,0.362,0.362
2020-10-28 22:30:00,0.362,,-0.551,-0.551
2020-10-21 22:30:00,-0.551,,-0.276,-0.276
2020-10-15 23:00:00,-0.276,,0.183,0.183
2020-10-07 22:30:00,0.183,,0.3,0.3
2020-09-30 22:30:00,0.3,,-0.118,-0.118
2020-09-23 22:30:00,-0.118,,0.709,0.709
2020-09-16 22:30:00,0.709,,-1.089,-1.089
2020-09-10 23:00:00,-1.089,,-0.844,-0.844
2020-09-02 22:30:00,-0.844,,0.225,0.225
2020-08-26 22:30:00,0.225,,-0.171,-0.171
2020-08-19 22:30:00,-0.171,,0.021,0.021
2020-08-12 22:30:00,0.021,,0.042,0.042
2020-08-05 22:30:00,0.042,,0.389,0.389
2020-07-29 22:30:00,0.389,,-0.103,-0.103
2020-07-22 22:30:00,-0.103,,-0.038,-0.038
2020-07-15 22:30:00,-0.038,,0.314,0.314
2020-07-08 22:30:00,0.314,,0.193,0.193
2020-07-01 22:30:00,0.193,,0.24,0.24
2020-06-24 22:30:00,0.24,,0.116,0.116
2020-06-17 22:30:00,0.116,,0.177,0.177
2020-06-10 22:30:00,0.177,,0.316,0.316
2020-06-03 22:30:00,0.316,,0.088,0.088
2020-05-28 23:00:00,0.088,,0.52,0.52
2020-05-20 22:30:00,0.52,,-0.593,-0.593
2020-05-13 22:30:00,-0.593,,0.215,0.215
2020-05-06 22:30:00,0.215,,0.305,0.305
2020-04-29 22:30:00,0.305,,-0.209,-0.209
2020-04-22 22:30:00,-0.209,,-0.969,-0.969
2020-04-15 22:30:00,-0.969,,-1.264,-1.264
2020-04-08 22:30:00,-1.264,,-0.94,-0.94
2020-04-01 22:30:00,-0.94,,0.018,0.018
2020-03-25 22:30:00,0.018,,0.118,0.118
2020-03-18 22:30:00,0.118,,0.006,0.006
2020-03-11 22:30:00,0.006,,-0.312,-0.312
2020-03-04 23:30:00,-0.312,,-0.202,-0.202
2020-02-26 23:30:00,-0.202,,0.19,0.19
2020-02-21 00:00:00,0.19,,0.048,0.048
2020-02-12 23:30:00,0.048,,0.048,0.048
2020-02-05 23:30:00,0.048,,-0.933,-0.933
2020-01-29 23:30:00,-0.933,,-0.116,-0.116
2020-01-24 00:00:00,-0.116,,0.076,0.076
2020-01-15 23:30:00,0.076,,-0.386,-0.386
2020-01-08 23:30:00,-0.386,,0.303,0.303
2020-01-04 00:00:00,0.303,,0.418,0.418
2019-12-28 00:00:00,0.418,,-0.035,-0.035
2019-12-18 23:30:00,-0.035,,-0.201,-0.201
2019-12-11 23:30:00,-0.201,,0.464,0.464
2019-12-04 23:30:00,0.464,,-0.101,-0.101
2019-11-27 23:30:00,-0.101,,0.519,0.519
2019-11-20 23:30:00,0.519,,0.155,0.155
2019-11-15 00:00:00,0.155,,-0.237,-0.237
2019-11-06 23:30:00,-0.237,,0.133,0.133
2019-10-30 22:30:00,0.133,,0.429,0.429
2019-10-23 22:30:00,0.429,,-0.22,-0.22
2019-10-17 23:00:00,-0.22,,-0.361,-0.361
2019-10-09 22:30:00,-0.361,,-0.496,-0.496
2019-10-02 22:30:00,-0.496,,-0.194,-0.194
2019-09-25 22:30:00,-0.194,,-0.788,-0.788
2019-09-18 22:30:00,-0.788,,0.114,
