发布日期 时间 今值 预测值 前值
2023年8月15日 (七月) 20:30 0.4% 0.2% -0.1%
2023年7月14日 (六月) 20:30 -0.2% -0.1% -0.4%
2023年6月15日 (五月) 20:30 -0.6% -0.6% 0.3%
2023年5月12日 (四月) 20:30 0.4% 0.3% -0.8%
2023年4月14日 (三月) 20:30 -0.6% -0.1% -0.2%
2023年3月16日 (二月) 20:30 -0.1% -0.2% -0.4%
2023年2月17日 (一月) 21:30 -0.2% -0.2% -0.1%
2023年1月13日 (十二月) 21:30 0.4% -0.9% -0.7%
2022年12月14日 (十一月) 21:30 -0.6% -0.5% -0.4%
2022年11月16日 (十月) 21:30 -0.2% -0.4% -1.1%
2022年10月14日 (九月) 20:30 -1.2% -1.1% -1.1%
2022年9月15日 (八月) 20:30 -1.0% -1.2% -1.5%
