model,datetime
UNE,2023/3/9 21:30:00
EIA,2023/3/8 23:30:00
BOC,2023/3/8 23:00:00
RBA,2023/3/7 11:30:00
UNE,2023/3/2 21:30:00
EIA,2023/3/1 23:30:00
ISM-M,2023/3/1 23:00:00
EIA,2023/2/24 00:00:00
UNE,2023/2/23 21:30:00
RBNZ,2023/2/22 09:00:00
USPMI,2023/2/21 22:45:00
GEPMI,2023/2/21 16:30:00
UNE,2023/2/16 21:30:00
EIA,2023/2/15 23:30:00
USCPI,2023/2/14 21:30:00
UNE,2023/2/9 21:30:00
EIA,2023/2/8 23:30:00
RBA,2023/2/7 11:30:00
NF,2023/2/3 21:30:00
UNE,2023/2/2 21:30:00
ECB,2023/2/2 21:15:00
BOE,2023/2/2 20:00:00
FOMC,2023/2/2 03:00:00
EIA,2023/2/1 23:30:00
ISM-M,2023/2/1 23:00:00
UNE,2023/1/26 21:30:00
EIA,2023/1/25 23:30:00
BOC,2023/1/25 23:00:00
USPMI,2023/1/24 22:45:00
GEPMI,2023/1/24 16:30:00
EIA,2023/1/20 00:00:00
UNE,2023/1/19 21:30:00
BOJ,2023/1/18 10:40:00
BOJ,2023/1/18 10:40:00
USCPI,2023/1/12 21:30:00
UNE,2023/1/12 21:30:00
EIA,2023/1/11 23:30:00
NF,2023/1/6 21:30:00
EIA,2023/1/6 00:00:00
UNE,2023/1/5 21:30:00
ISM-M,2023/1/4 23:00:00
BOE,2022/12/15 20:00:00
USPPI,2023/12/13 21:30:00
USPPI,2023/11/15 21:30:00
USPPI,2023/10/11 20:30:00
USPPI,2023/9/14 20:30:00
USPPI,2023/8/11 20:30:00
USPPI,2023/7/13 20:30:00
USPPI,2023/6/14 20:30:00
USPPI,2023/5/11 20:30:00
USPPI,2023/4/13 20:30:00
USPPI,2023/3/15 20:30:00
USPPI,2023/2/16 21:30:00
USPPI,2023/1/18 21:30:00
USRS,2023/12/14 21:30:00
USRS,2023/11/15 21:30:00
USRS,2023/10/17 20:30:00
USRS,2023/9/14 20:30:00
USRS,2023/8/15 20:30:00
USRS,2023/7/18 20:30:00
USRS,2023/6/15 20:30:00
USRS,2023/5/16 20:30:00
USRS,2023/4/14 20:30:00
USRS,2023/3/15 20:30:00
USRS,2023/2/15 21:30:00
USRS,2023/1/18 21:30:00
